id,代数,次数,三维1,三维2,三维3,重量,价格
127534,17,3,1.9,1.2,1.4,0,1.19
102894,18,4,1.4,1.3,1.2,0,1.19
177926,28,0,1.1,1.2,1.1,0,1.2
97807,21,1,1.2,1.7,1.2,0,1.2
177954,28,0,1.5,1,1.4,0,1.2
178013,20,0,1.6,1.5,1,0,1.2
98196,23,1,1.2,1.1,1,0,1.2
129997,19,3,1,1.1,1.2,0,1.2
96740,21,1,1.1,1,1.3,0,1.2
94463,21,1,1.1,1.2,1.4,0,1.2
70160,20,1,1.4,1,1.1,0,1.22
103697,20,2,1,1.9,1.3,0,1.23
116617,20,1,1.6,1.2,1.3,0,1.24
48459,20,3,1.1,1.2,1.5,0,1.25
41570,20,3,1.3,1.6,1.1,0,1.25
75153,19,4,1.7,1.5,1.1,0,1.25
101794,19,1,1.1,1.2,1.7,0,1.25
118053,20,4,1.4,1,1.2,0,1.27
119056,16,1,1.5,1.1,1,0,1.28
143494,20,1,1,1.3,1.2,0,1.29
150162,19,2,1.1,1.2,1.9,0,1.29
158104,20,1,1.1,1.6,1.3,0,1.29
143261,20,1,1,1.2,1.4,0,1.29
65346,20,4,1.4,1.4,1.2,0,1.3
113502,20,1,1.1,1.8,1.3,0,1.3
132192,18,1,1.3,1.7,1.4,0,1.3
142459,27,1,1.2,1.2,1.4,0,1.3
176011,16,0,1.6,1.1,1.3,0,1.3
94634,28,1,1.7,1.5,1.3,0,1.3
153780,20,1,1.3,1,1.4,0,1.3
30675,19,3,1.6,1.1,1.3,0,1.3
175334,25,0,1.2,1.1,1,0,1.3
102125,18,1,1,1.8,1.4,0,1.3
164855,18,1,1.4,1,1.6,0,1.3
69625,22,2,1,1.1,1.2,0,1.3
78102,20,3,1.5,1.2,1.2,0,1.35
142169,20,2,1.7,1.3,1.1,0,1.35
56007,21,3,1.4,1.2,1.5,0,1.35
78297,20,1,1.2,1.6,1,0,1.37
122487,25,1,1.8,1.3,1.4,0,1.38
177405,28,0,1.4,1.1,1.7,0,1.38
74281,15,2,1.3,1.4,1.1,0,1.39
137034,20,2,1.2,1.4,1.3,0,1.39
126803,17,1,1.1,1,1.2,0,1.39
46700,20,4,1.6,1.7,1,0,1.39
93052,18,1,1.8,1.4,1.1,0,1.39
114914,18,1,1.2,1.7,1.6,0,1.39
90124,15,4,1.7,1,1.6,0,1.4
50527,22,2,1,1,1.1,0,1.4
154777,16,2,1,1.3,1,0,1.4
177561,15,0,1.6,1.7,1.1,0,1.4
177836,17,0,1.7,1,1,0,1.4
105650,18,1,1.2,1.1,1,0,1.4
50101,24,2,1.2,1.6,1.1,0,1.4
161983,15,1,1.1,1.3,1.6,0,1.4
109780,18,1,1.6,1.7,1.1,0,1.4
50165,24,2,1.1,1.1,1,0,1.4
123382,20,1,1,1.2,1.5,0,1.4
57855,16,5,1.6,1.5,1.2,0,1.4
28917,18,1,1.3,1.7,1.3,0.38,1.43
132366,15,1,1.6,1.7,1,0,1.45
123209,14,1,1,1.6,1.1,0,1.45
53132,14,2,1.6,1.2,1.3,0,1.45
174102,28,0,1.5,1.1,1.3,0,1.46
73531,18,1,1.1,1.2,1.7,0,1.46
95323,16,1,1.9,1.1,1.3,0,1.46
131896,26,1,1.2,1.6,1.6,0,1.47
120170,26,2,1,1.5,1.6,0,1.47
123266,26,1,1.4,1,1.1,0,1.47
95388,28,1,1.5,1.3,1.8,0,1.47
101045,21,1,1.7,1.3,1.1,0,1.48
119347,22,1,1.8,1.4,1,0,1.49
122196,20,1,1.6,1.7,1.3,0,1.49
149119,17,1,1.1,1.7,1.2,0,1.49
128938,16,1,1.8,1.3,1.2,0,1.49
103887,22,1,1,1.6,1.2,0,1.49
129243,26,1,1.6,1.2,1.3,0,1.49
140766,15,1,1.4,1.4,1.3,0,1.49
81395,15,1,1.7,1.4,1.1,0,1.49
99589,28,1,1.3,1,1.1,0,1.5
100358,16,1,1.3,1.2,1.4,0,1.5
150542,26,1,1.2,1,1.4,0,1.5
149523,22,1,1.4,1.5,1.3,0,1.5
148756,14,1,1.7,1.3,1.6,0,1.5
148756,14,1,1.7,1.3,1.6,0,1.5
160535,22,1,1.5,1.5,1.1,0,1.5
122905,26,1,1.8,1,1,0,1.5
98335,17,1,1.5,1.3,1.7,0,1.5
124448,20,1,1.9,1.5,1,0,1.5
177442,21,0,1,1.8,1.1,0,1.5
135716,16,1,1.3,1.5,1.2,0,1.5
39207,15,1,1.3,1.8,1.1,0,1.5
165674,16,1,1,1.1,1.9,0,1.5
113711,19,1,1.2,1.4,1.4,0,1.5
30805,20,1,1.1,1.6,1.4,0,1.5
118359,20,1,1.1,1.7,1.6,0,1.5
68707,28,1,1.5,1.8,1.1,0,1.5
43379,17,6,1.8,1.6,1,0,1.5
144761,29,1,1,1.8,1.3,0,1.5
177786,22,0,1.4,1.9,1.5,0,1.5
175234,15,0,1.7,1.1,1.6,0,1.5
37267,27,1,1.2,1,1.9,2.85,1.5
123285,19,1,1.2,1.1,1.5,0,1.5
29336,17,4,1.1,1.1,1.5,0,1.5
173986,17,0,1.4,1.2,1.5,0,1.5
48804,19,3,1,1.5,1.7,0,1.5
111783,19,1,1.5,1.5,1.3,0,1.5
154792,22,1,1.2,1.4,1.5,0,1.5
95665,19,1,1,1.6,1.2,0,1.5
