id,代数,次数,三维1,三维2,三维3,重量,价格
23,0,14,2.39,2.34,2.34,84.49,76792
30,0,15,1.13,2.15,2.11,35.73,48888
69,0,15,2.51,2.15,1.51,91.26,58888
78,0,16,2.66,1.8,1.58,85.57,48800
83,0,15,1.88,1.88,1.73,66.91,46888
86,0,14,1.59,1.79,3.36,37.58,50000
91,0,15,2.36,1.78,1.38,81.94,60000
102,1,15,2.24,1.9,1.23,73.13,6333
103,1,13,1.12,1.42,1.42,30.88,4800
104,1,15,1.97,2.98,1.97,44.26,6999
106,1,14,1.9,1.85,1.9,78.44,6333
108,1,15,2.41,2.22,2.41,67.63,9999
110,1,14,1.98,1.99,1.58,63.38,7300
115,1,14,1.73,1.73,1.22,58.01,7188
121,1,14,1.64,2.02,2.01,59.75,6333
141,1,14,1.74,1.76,2.47,39.23,5499
158,2,12,1.96,1.93,1.95,92.74,6666
163,1,15,2.4,1.96,2.4,111.68,10888
167,2,13,2.2,1.28,1.45,63.36,1499
169,1,14,2.62,2.62,1.9,87.14,6333
174,1,15,2.37,2.29,2.36,45.23,5999
195,4,11,1.48,1.48,1.66,43.29,420
202,3,10,2.16,1.48,2.72,55.66,2222.2
206,2,14,1.54,1.96,1.96,45.39,1088.88
227,1,14,2.68,1.69,1.45,51.49,5369
248,2,14,1.97,1.97,1.22,80.5,1600
255,1,12,1.45,2.45,1.25,34.35,7888
261,1,14,1.1,2.13,2.35,32.38,5333
265,4,10,1.66,1.65,1.98,54.04,988.26
271,2,13,1.28,1.95,1.91,43.43,3000
272,3,12,2.24,1.98,1.95,54.53,1588
280,2,10,1.51,1.51,1.94,33.16,3300
320,1,14,1.83,2.39,1.96,72.68,6333
330,2,14,2.56,2.06,2.36,79.3,2500
333,1,14,1.3,1.8,1.3,46.79,7333
344,1,14,1.54,1.54,2.51,42.47,7888
352,3,7,2.11,2.11,2.11,83.51,8888.88
354,1,14,1.67,1.71,1.67,49.1,4866
361,2,11,2.41,2.38,2.38,47.96,9900
362,1,14,2.25,2.12,1.57,72.15,5800
368,4,10,2.55,2.55,2.55,89.59,3999
369,4,13,2.62,2.62,2.62,110.91,5188
377,3,13,1.88,1.93,2.9,71.2,2359
380,2,14,1.9,1.94,2.45,75.51,1880
385,2,14,2.32,2.32,2.39,96.43,3686.58
392,2,13,1.28,2.04,1.94,36.94,1288
393,3,12,2.01,2.02,2.54,66.55,5555
395,4,13,2.56,1.56,2.26,90.81,1499
410,2,14,1.48,1.91,2.56,47.23,1550
417,2,10,1.38,2.53,2.53,35.17,3500
418,2,14,2.03,1.68,1.2,44.26,760
427,4,5,1.99,2.61,1.9,73.57,700
459,7,3,1.39,1.5,1.14,9.35,999
460,2,10,1.69,1.35,2.49,26.3,2000
475,6,0,2.6,1.05,1.05,34.01,199
485,9,6,2.09,2.09,1.95,71.18,300
494,3,8,2.5,2.5,2.5,76.5,6666
500,2,9,1.45,1.45,2.5,54.55,5000
505,4,12,2.05,1.55,1.85,61.37,888.88
507,2,14,1.55,2.51,2.1,39.31,1100
514,1,13,1.87,1.87,2.87,48.92,8000
517,1,14,1.56,2.21,1.3,49.29,4000
520,6,0,1.96,1.3,1.96,54.83,6000
527,1,13,1.76,1.81,1.55,38.68,8888
546,6,10,1.41,1.25,1.5,27.48,159
565,2,13,1.83,1.81,1.56,54.65,2500
581,8,9,1.3,1.76,1.3,18.16,88.88
584,2,14,1.76,2.33,2.43,65.06,1999
590,1,14,2.34,1.36,2.35,61.75,15999
598,9,5,2.54,2.54,2.02,114.12,500
602,9,3,1.74,1.7,1.36,30.24,288
